observacao;idade;uf;regiao;carencia;percentual_entrada_veicu;ano_modelo_veic;idade_bem;qtde_prestacoes;vlr_principal;taxa_mensal;vlr_renda;vlr_max_renda_presum;pc_compr_renda_familiar;autonomos;taxistas;status_prop;score_sis;var_1;var_2;var_3;var_4;var_5;idade_veiculo;target
obs4545;56;SP;SULDESTE;30;73.0;2021;0 Km;24;24899.19;0.0;5658.0;4346.0;18;N;N;EF;720;3.0;A4;BOM;A1;S;0;0.0
obs2057;46;SP;SULDESTE;30;42.51;2021;0 Km;37;28744.91;1.14;18450.0;11767.0;5;N;N;EF;706;3.0;A4;RUIM;A2;S;0;0.0
obs5137;40;RR;NORTE;30;22.25;2022;0 Km;49;34220.25;1.05;3444.0;1189.0;29;N;N;EF;678;3.0;A4;RUIM;B3;N;-1;0.0
obs5509;52;RS;SUL;30;39.94;2022;0 Km;48;25762.64;1.21;3895.0;2501.0;19;N;N;EF;755;1.0;A1;BOM;B2;;-1;0.0
obs3570;54;MG;SULDESTE;30;3.35;2021;0 Km;60;41608.08;1.2;3690.0;3362.0;26;N;N;EF;700;1.0;A4;RUIM;C3;;0;0.0
obs2153;44;ES;SULDESTE;30;43.85;2021;0 Km;49;34974.7;1.05;3936.0;3444.0;0;N;N;EF;763;3.0;A2;BOM;A3;S;0;0.0
obs2685;56;MS;CENTRO-OESTE;30;9.38;2022;0 Km;60;40968.22;1.23;4592.0;4346.0;21;N;N;EF;747;3.0;A2;BOM;C3;S;-1;0.0
obs9042;37;SC;SUL;30;47.75;2022;0 Km;24;46727.15;1.34;17220.0;8323.0;13;N;N;EF;733;3.0;A2;BOM;A1;S;-1;0.0
obs6157;44;AM;NORTE;30;0.0;2021;0 Km;48;40634.58;1.26;6618.97;1886.0;17;N;N;EF;706;3.0;A1;BOM;C2;S;0;0.0
obs7469;27;RS;SUL;30;0.0;2022;0 Km;60;45506.68;1.13;5740.0;1558.0;19;N;N;EF;725;3.0;A1;BOM;C3;N;-1;0.0
obs3020;50;PB;NORDESTE;30;1.81;2022;0 Km;60;45058.82;1.3;6560.0;1517.0;17;N;N;EF;715;3.0;A2;RUIM;C3;S;-1;0.0
obs7411;48;BA;NORDESTE;30;27.38;2021;0 Km;24;59693.28;1.03;12300.0;2624.0;24;N;N;EF;702;3.0;A2;RUIM;B1;N;0;0.0
obs4035;41;TO;NORTE;30;38.87;2021;0 Km;49;58755.03;1.12;7283.65;1968.0;15;N;N;EF;714;3.0;A4;RUIM;B3;S;0;0.0
