observacao;idade;uf;regiao;carencia;percentual_entrada_veicu;ano_modelo_veic;idade_bem;qtde_prestacoes;vlr_principal;taxa_mensal;vlr_renda;vlr_max_renda_presum;pc_compr_renda_familiar;autonomos;taxistas;status_prop;score_sis;var_1;var_2;var_3;var_4;var_5;idade_veiculo;target
obs4179;42;SP;SULDESTE;30;45.54;2021;0 Km;48;50903.67;1.16;4920.0;1886.0;28;N;S;EF;665;3.0;A2;RUIM;A2;S;4;0.0
obs7997;64;SC;SUL;30;31.8;2020;2 anos;24;36808.01;1.16;6150.0;2009.0;30;N;N;EF;701;;;;;N;5;0.0
obs2788;57;AP;NORTE;30;14.64;2021;0 Km;60;73511.44;1.35;8917.43;1640.0;0;N;N;EF;711;2.0;A2;BOM;C3;S;4;0.0
obs6332;27;PB;NORDESTE;30;43.41;2022;0 Km;36;33243.77;0.83;4100.0;943.0;26;N;N;EF;738;3.0;A1;BOM;A1;N;3;0.0
obs6153;43;DF;CENTRO-OESTE;30;62.73;2022;0 Km;24;31271.91;0.0;7380.0;5986.0;0;N;N;EF;723;3.0;A2;BOM;A1;S;3;0.0
obs2561;28;PI;NORDESTE;30;19.27;2021;0 Km;60;35690.25;1.55;2624.0;1066.0;0;N;N;EF;695;1.0;A4;RUIM;C3;;4;0.0
obs2580;88;PE;NORDESTE;30;33.82;2021;0 Km;60;57105.95;1.09;8200.0;1271.0;15;N;N;EF;720;1.0;A1;BOM;B3;S;4;0.0
obs7392;54;SC;SUL;60;35.95;2013;>= 3 anos;48;17351.79;1.2;2706.0;1845.0;18;N;N;EF;671;;;;;S;12;0.0
obs9530;45;PE;NORDESTE;30;17.25;2017;>= 3 anos;48;29051.95;1.95;3690.0;1845.0;26;S;N;EF;675;;;;;S;8;0.0
obs4709;81;MG;SULDESTE;30;45.77;2022;0 Km;18;25655.48;0.81;8200.0;1927.0;18;N;N;EF;707;3.0;A4;BOM;A1;;3;0.0
obs7252;38;PE;NORDESTE;30;48.94;2022;0 Km;49;28897.28;1.05;5740.0;1804.0;0;N;N;EF;678;3.0;A1;BOM;A3;S;3;0.0
obs5674;57;RJ;SULDESTE;30;47.72;2021;0 Km;37;43088.62;0.81;3690.0;1845.0;0;N;N;EF;700;3.0;A4;RUIM;A2;S;4;0.0
obs3864;63;RS;SUL;30;62.01;2021;0 Km;36;33286.45;0.72;22140.0;16851.0;4;N;N;EF;747;2.0;A4;BOM;A1;S;4;0.0
obs5285;49;SC;SUL;30;40.0;2014;>= 3 anos;48;22846.39;1.59;4100.0;2542.0;17;N;N;EF;640;;;;;N;11;0.0
obs3335;50;SP;SULDESTE;30;52.0;2015;>= 3 anos;24;19046.61;1.04;4100.0;1927.0;23;N;N;EF;698;;;;;S;10;0.0
