iter	Logloss
0	0.655426906
1	0.6192999102
2	0.5843232012
3	0.5516837878
4	0.5195825532
5	0.4913872548
6	0.4656606995
7	0.4424652511
8	0.4217882359
9	0.4001814244
10	0.3808604921
11	0.3636478331
12	0.3450752564
13	0.3304660231
14	0.3152094756
15	0.3024845346
16	0.2899660977
17	0.2778970343
18	0.2676873949
19	0.2580165555
20	0.2493336245
21	0.2402648378
22	0.233265726
23	0.2256810225
24	0.2191418748
25	0.2122800616
26	0.2056095172
27	0.1995252319
28	0.1945168312
29	0.189673757
30	0.1844193244
31	0.179622563
32	0.1753520348
33	0.1720879129
34	0.1686439093
35	0.1652355107
36	0.1619443092
37	0.1583016306
38	0.1555528107
39	0.1526274503
40	0.150268664
41	0.148305572
42	0.1461406538
43	0.1436973062
44	0.1417842847
45	0.1400389567
46	0.1380949064
47	0.1365715401
48	0.1350843557
49	0.1338739163
50	0.1327500823
51	0.1313983156
52	0.129872368
53	0.1281712156
54	0.1269701526
55	0.1257185987
56	0.1243236017
57	0.1232244712
58	0.1219565489
59	0.120664998
60	0.1199423976
61	0.1190748821
62	0.1180356819
63	0.117147946
64	0.1161753025
65	0.1154238434
66	0.114417686
67	0.1136347865
68	0.1128837329
69	0.1121000328
70	0.1116037635
71	0.1108955746
72	0.1101310495
73	0.1095391621
74	0.1087512552
75	0.1081810952
76	0.1075405237
77	0.1069191803
78	0.1063141798
79	0.1059118964
80	0.1053588478
81	0.1049826301
82	0.1044966548
83	0.1039433918
84	0.1034439511
85	0.1029655071
86	0.1026004893
87	0.1021721697
88	0.1017409022
89	0.1012684566
90	0.1009518071
91	0.1004163973
92	0.09997688162
93	0.09957740066
94	0.09926639048
95	0.09885477406
96	0.09850364924
97	0.09823210022
98	0.09794845165
99	0.09759384377
100	0.09733949076
101	0.09706717242
102	0.09675859565
103	0.09635073319
104	0.09598833465
105	0.095803335
106	0.09555080218
107	0.09512773131
108	0.09484010154
109	0.094515216
110	0.0942694048
111	0.09396446912
112	0.09376584014
113	0.09353056487
114	0.09314637546
115	0.09291679189
116	0.09259989675
117	0.09228347079
118	0.09204078751
119	0.09174077278
120	0.09150043285
121	0.09122374638
122	0.09087475696
123	0.09066979147
124	0.09053630229
125	0.09034881554
126	0.09022457819
127	0.08999814385
128	0.08979239267
129	0.08948008553
130	0.08931730686
131	0.089026215
132	0.08873159907
133	0.08853177148
134	0.08829048334
135	0.08811227096
136	0.08791823894
137	0.08774255546
138	0.08749857502
